pingfen,title
9.7,肖申克的救赎
9.6,霸王别姬
9.5,阿甘正传
9.5,泰坦尼克号
9.4,这个杀手不太冷
9.4,千与千寻
9.5,美丽人生
9.4,星际穿越
9.4,盗梦空间
9.5,辛德勒的名单
9.4,楚门的世界
9.4,忠犬八公的故事
9.3,海上钢琴师
9.2,三傻大闹宝莱坞
9.3,放牛班的春天
9.3,机器人总动员
9.2,疯狂动物城
9.3,无间道
9.6,控方证人
9.2,大话西游之大圣娶亲
9.4,熔炉
9.3,教父
9.3,触不可及
9.2,当幸福来敲门
9.1,寻梦环游记
9.3,末代皇帝
9.2,龙猫
9.1,怦然心动
9.3,活着
9.2,哈利·波特与魔法石
9.2,蝙蝠侠：黑暗骑士
9.3,指环王3：王者无敌
9.0,我不是药神
9.3,乱世佳人
9.1,飞屋环游记
9.3,素媛
9.4,十二怒汉
9.1,哈尔的移动城堡
9.0,让子弹飞
9.1,何以为家
9.0,摔跤吧！爸爸
9.1,猫鼠游戏
9.2,天空之城
9.3,鬼子来了
9.3,海蒂和爷爷
9.1,少年派的奇幻漂流
9.3,钢琴家
9.0,大话西游之月光宝盒
9.2,指环王2：双塔奇兵
9.1,闻香识女人
9.2,死亡诗社
8.9,绿皮书
9.1,罗马假日
9.4,大闹天宫
9.2,天堂电影院
9.1,指环王1：护戒使者
9.1,黑客帝国
9.3,教父2
9.1,狮子王
9.2,辩护人
9.2,饮食男女
9.0,搏击俱乐部
9.0,本杰明·巴顿奇事
9.1,美丽心灵
9.2,穿条纹睡衣的男孩
9.2,窃听风暴
8.9,情书
9.1,两杆大烟枪
8.9,西西里的美丽传说
9.1,音乐之声
8.8,看不见的客人
8.8,阿凡达
9.0,哈利·波特与死亡圣器(下)
9.1,拯救大兵瑞恩
9.1,飞越疯人院
9.2,小鞋子
8.9,沉默的羔羊
8.8,功夫
8.9,布达佩斯大饭店
8.9,禁闭岛
8.9,蝴蝶效应
8.9,哈利·波特与阿兹卡班的囚徒
8.9,致命魔术
8.9,心灵捕手
9.0,超脱
8.9,低俗小说
9.3,海豚湾
9.3,摩登时代
9.0,春光乍泄
9.2,美国往事
8.8,喜剧之王
8.9,致命ID
8.9,杀人回忆
9.1,红辣椒
8.9,哈利·波特与密室
8.8,七宗罪
8.8,加勒比海盗
9.1,一一
9.1,狩猎
8.7,唐伯虎点秋香
8.9,7号房的礼物
8.9,被嫌弃的松子的一生
8.9,蝙蝠侠：黑暗骑士崛起
8.8,请以你的名字呼唤我
8.8,爱在黎明破晓前
8.8,断背山
8.7,剪刀手爱德华
8.9,入殓师
8.9,第六感
8.8,重庆森林
8.9,甜蜜蜜
8.7,超能陆战队
8.9,勇敢的心
8.9,爱在日落黄昏时
8.9,幽灵公主
8.9,菊次郎的夏天
8.8,寄生虫
8.9,借东西的小人阿莉埃蒂
8.7,消失的爱人
8.8,阳光灿烂的日子
9.1,无人知晓
9.1,完美的世界
8.7,天使爱美丽
8.8,倩女幽魂
9.0,小森林 夏秋篇
8.8,时空恋旅人
9.1,未麻的部屋
8.8,哈利·波特与火焰杯
8.9,侧耳倾听
8.8,驯龙高手
8.8,幸福终点站
8.9,一个叫欧维的男人决定去死
9.0,小森林 冬春篇
8.8,怪兽电力公司
9.0,教父3
8.9,玩具总动员3
8.7,傲慢与偏见
8.9,新世界
8.9,萤火之森
9.6,茶馆
8.8,被解救的姜戈
8.6,釜山行
8.7,神偷奶爸
8.8,告白
8.7,色，戒
9.2,哪吒闹海
9.0,玛丽和马克思
8.7,九品芝麻官
8.8,大鱼
9.0,喜宴
8.8,模仿游戏
8.6,头号玩家
8.8,花样年华
8.7,射雕英雄传之东成西就
8.8,头脑特工队
9.0,我是山姆
9.3,七武士
8.8,阳光姐妹淘
8.7,血战钢锯岭
8.7,恐怖直播
9.0,惊魂记
8.8,黑客帝国3：矩阵革命
8.5,你的名字。
8.7,三块广告牌
8.7,电锯惊魂
8.8,达拉斯买家俱乐部
8.7,心迷宫
8.7,疯狂原始人
8.8,谍影重重3
8.6,英雄本色
9.0,上帝之城
8.9,风之谷
8.9,爱在午夜降临前
8.9,绿里奇迹
8.8,海街日记
8.7,小丑
8.8,纵横四海
8.9,卢旺达饭店
9.5,背靠背，脸对脸
8.7,心灵奇旅
8.7,记忆碎片
8.6,疯狂的石头
9.1,雨中曲
8.9,2001太空漫游
8.7,无间道2
8.7,岁月神偷
9.2,忠犬八公物语
8.7,小偷家族
8.7,无敌破坏王
8.8,荒蛮故事
8.6,冰川时代
8.7,爆裂鼓手
8.5,恐怖游轮
8.9,牯岭街少年杀人事件
8.6,贫民窟的百万富翁
9.0,东京教父
8.6,东邪西毒
8.7,魔女宅急便
8.7,遗愿清单
8.7,大佛普拉斯
8.9,你看起来好像很好吃
8.9,可可西里
8.6,黑天鹅
9.3,城市之光
8.5,源代码
8.5,真爱至上
8.6,海边的曼彻斯特
8.9,末路狂花
8.6,波西米亚狂想曲
8.7,雨人
8.5,初恋这件小事
8.6,青蛇
8.7,人工智能
8.5,恋恋笔记本
8.9,虎口脱险
8.4,爱乐之城
8.8,终结者2：审判日
